timestamp,index,temperature_gpu,utilization_gpu,utilization_memory,memory_used,power_draw,clocks_sm
2026/09/14 15:52:50.437, 0, 46, 100, 5, 429, 122.43, 1911
2026/09/14 15:52:50.440, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:51.472, 0, 46, 100, 5, 429, 99.83, 1911
2026/09/14 15:52:51.475, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:52.510, 0, 46, 100, 5, 429, 92.82, 1911
2026/09/14 15:52:52.515, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:53.547, 0, 46, 100, 4, 429, 141.45, 1911
2026/09/14 15:52:53.550, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:54.582, 0, 46, 100, 5, 429, 107.94, 1911
2026/09/14 15:52:54.588, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:55.620, 0, 46, 100, 3, 429, 84.48, 1911
2026/09/14 15:52:55.623, 1, 18, 0, 0, 5, 9.03, 139
2026/09/14 15:52:56.654, 0, 46, 100, 4, 429, 110.29, 1911
2026/09/14 15:52:56.657, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:57.689, 0, 46, 100, 5, 429, 146.81, 1911
2026/09/14 15:52:57.692, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:58.724, 0, 46, 100, 5, 429, 94.37, 1911
2026/09/14 15:52:58.727, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:59.759, 0, 46, 100, 5, 429, 110.18, 1911
2026/09/14 15:52:59.761, 1, 18, 0, 0, 5, 9.23, 139
2026/09/14 15:53:00.793, 0, 46, 100, 5, 429, 104.33, 1911
2026/09/14 15:53:00.796, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:01.827, 0, 46, 100, 5, 429, 104.00, 1911
2026/09/14 15:53:01.830, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:02.863, 0, 46, 100, 5, 429, 135.54, 1911
2026/09/14 15:53:02.865, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:03.897, 0, 46, 100, 4, 429, 100.95, 1911
2026/09/14 15:53:03.900, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:04.933, 0, 46, 100, 4, 429, 112.06, 1911
2026/09/14 15:53:04.936, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:53:05.968, 0, 46, 100, 5, 429, 114.59, 1911
2026/09/14 15:53:05.971, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:07.002, 0, 46, 100, 3, 429, 98.46, 1911
2026/09/14 15:53:07.007, 1, 18, 0, 0, 5, 9.23, 139
2026/09/14 15:53:08.039, 0, 46, 100, 4, 429, 136.02, 1911
2026/09/14 15:53:08.042, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:09.074, 0, 46, 100, 5, 429, 109.89, 1911
2026/09/14 15:53:09.077, 1, 18, 0, 0, 5, 8.74, 139
2026/09/14 15:53:10.109, 0, 46, 100, 5, 429, 84.48, 1911
2026/09/14 15:53:10.114, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:11.147, 0, 46, 100, 5, 429, 120.22, 1911
2026/09/14 15:53:11.150, 1, 18, 0, 0, 5, 8.55, 139
2026/09/14 15:53:12.183, 0, 46, 100, 5, 429, 138.62, 1911
2026/09/14 15:53:12.186, 1, 18, 0, 0, 5, 14.65, 139
2026/09/14 15:53:13.236, 0, 46, 100, 5, 429, 89.68, 1911
2026/09/14 15:53:13.242, 1, 18, 0, 0, 5, 9.13, 139
2026/09/14 15:53:14.276, 0, 46, 100, 4, 429, 138.77, 1911
2026/09/14 15:53:14.278, 1, 18, 0, 0, 5, 8.55, 139
2026/09/14 15:53:15.311, 0, 46, 100, 4, 429, 109.41, 1911
2026/09/14 15:53:15.314, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:16.346, 0, 46, 100, 5, 429, 85.29, 1911
2026/09/14 15:53:16.350, 1, 18, 0, 0, 5, 8.55, 139
